% function evaluation | noise-free fitness - Fopt (-4.620900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
84 +1.717083467e+001 +1.717083467e+001 +1.328508347e+002 +1.328508347e+002 +8.5293e-001 -1.5401e+000 -1.3108e-002
115 +1.370932525e+001 +1.370932525e+001 +1.293893252e+002 +1.293893252e+002 -1.1571e+000 -9.1748e-001 -6.9594e-001
182 +6.825290327e+000 +6.825290327e+000 +1.225052903e+002 +1.225052903e+002 -3.1582e+000 -1.0646e+000 +6.5249e-001
254 +3.584544610e+000 +3.584544610e+000 +1.192645446e+002 +1.192645446e+002 -3.1744e+000 -1.5586e+000 +6.3437e-001
419 +2.586656163e+000 +2.586656163e+000 +1.182666562e+002 +1.182666562e+002 -2.2243e+000 -4.4068e-001 +5.9361e-001
470 +2.481303208e+000 +2.481303208e+000 +1.181613032e+002 +1.181613032e+002 -2.1431e+000 -9.3972e-001 +5.8695e-001
534 +2.304694672e+000 +2.304694672e+000 +1.179846947e+002 +1.179846947e+002 -2.0963e+000 -9.9278e-001 +6.1310e-001
577 +1.949368612e+000 +1.949368612e+000 +1.176293686e+002 +1.176293686e+002 -2.1450e+000 -9.4656e-001 +6.2223e-001
603 +1.837592420e+000 +1.837592420e+000 +1.175175924e+002 +1.175175924e+002 -2.1266e+000 -1.5528e+000 +2.4350e-001
801 +1.147034380e+000 +1.147034380e+000 +1.168270344e+002 +1.168270344e+002 -2.1768e+000 -1.5648e+000 +2.3758e-001
1096 +1.007502920e+000 +1.007502920e+000 +1.166875029e+002 +1.166875029e+002 -2.1857e+000 -1.5820e+000 +2.4558e-001
1188 +9.992428493e-001 +9.992428493e-001 +1.166792428e+002 +1.166792428e+002 -2.1813e+000 -1.5815e+000 +2.4560e-001
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.700439179e+002 +3.700439179e+002 +3.663339179e+002 +3.663339179e+002 +1.2406e+000 -2.9561e+000 -4.4179e+000
8 +3.605626952e+002 +3.605626952e+002 +3.568526952e+002 +3.568526952e+002 +7.9804e-001 -4.0979e+000 -3.9685e+000
12 +3.375988513e+002 +3.375988513e+002 +3.338888513e+002 +3.338888513e+002 +1.3058e+000 -4.2076e+000 -3.8920e+000
13 +2.619881368e+002 +2.619881368e+002 +2.582781368e+002 +2.582781368e+002 +1.2708e+000 -3.6314e+000 -3.0747e+000
14 +2.059764021e+002 +2.059764021e+002 +2.022664021e+002 +2.022664021e+002 +1.4324e+000 -3.6709e+000 -2.1386e+000
17 +1.760487021e+002 +1.760487021e+002 +1.723387021e+002 +1.723387021e+002 +2.0817e+000 -3.9436e+000 -2.0852e+000
29 +1.698514512e+002 +1.698514512e+002 +1.661414512e+002 +1.661414512e+002 +1.3059e+000 -3.2963e+000 -1.8856e+000
32 +1.420210680e+002 +1.420210680e+002 +1.383110680e+002 +1.383110680e+002 +1.7176e+000 -2.4380e+000 -1.3333e+000
34 +7.605525715e+001 +7.605525715e+001 +7.234525715e+001 +7.234525715e+001 +1.5183e+000 -4.2582e+000 +7.3200e-001
