% function evaluation | noise-free fitness - Fopt (-1.025500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2473 +1.469090821e+001 +1.469090821e+001 +2.287009082e+002 +2.287009082e+002
2574 +1.442395880e+001 +1.442395880e+001 +2.284339588e+002 +2.284339588e+002
2622 +1.333238605e+001 +1.333238605e+001 +2.273423860e+002 +2.273423860e+002
2664 +1.241933051e+001 +1.241933051e+001 +2.264293305e+002 +2.264293305e+002
2750 +1.209752058e+001 +1.209752058e+001 +2.261075206e+002 +2.261075206e+002
2895 +1.102812978e+001 +1.102812978e+001 +2.250381298e+002 +2.250381298e+002
3341 +1.096019431e+001 +1.096019431e+001 +2.249701943e+002 +2.249701943e+002
3580 +1.057914837e+001 +1.057914837e+001 +2.245891484e+002 +2.245891484e+002
3708 +1.025255269e+001 +1.025255269e+001 +2.242625527e+002 +2.242625527e+002
3725 +1.007480945e+001 +1.007480945e+001 +2.240848095e+002 +2.240848095e+002
3934 +9.955671017e+000 +9.955671017e+000 +2.239656710e+002 +2.239656710e+002
3948 +9.237426524e+000 +9.237426524e+000 +2.232474265e+002 +2.232474265e+002
4426 +8.810548863e+000 +8.810548863e+000 +2.228205489e+002 +2.228205489e+002
4510 +8.010363638e+000 +8.010363638e+000 +2.220203636e+002 +2.220203636e+002
5287 +6.918246126e+000 +6.918246126e+000 +2.209282461e+002 +2.209282461e+002
11825 +6.211870849e+000 +6.211870849e+000 +2.202218708e+002 +2.202218708e+002
201165 +5.161703584e+000 +5.161703584e+000 +2.191717036e+002 +2.191717036e+002
% function evaluation | noise-free fitness - Fopt (-5.848000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.178801998e+001 +9.178801998e+001 +3.330801998e+001 +3.330801998e+001
2 +8.099617209e+001 +8.099617209e+001 +2.251617209e+001 +2.251617209e+001
4 +7.131008603e+001 +7.131008603e+001 +1.283008603e+001 +1.283008603e+001
13 +7.037001346e+001 +7.037001346e+001 +1.189001346e+001 +1.189001346e+001
21 +6.355787420e+001 +6.355787420e+001 +5.077874199e+000 +5.077874199e+000
22 +6.198178144e+001 +6.198178144e+001 +3.501781441e+000 +3.501781441e+000
31 +6.110042595e+001 +6.110042595e+001 +2.620425953e+000 +2.620425953e+000
32 +5.881247116e+001 +5.881247116e+001 +3.324711598e-001 +3.324711598e-001
88 +5.336287488e+001 +5.336287488e+001 -5.117125125e+000 -5.117125125e+000
288 +5.035622554e+001 +5.035622554e+001 -8.123774464e+000 -8.123774464e+000
378 +4.926502060e+001 +4.926502060e+001 -9.214979401e+000 -9.214979401e+000
426 +4.394095768e+001 +4.394095768e+001 -1.453904232e+001 -1.453904232e+001
471 +4.322948105e+001 +4.322948105e+001 -1.525051895e+001 -1.525051895e+001
609 +4.101679521e+001 +4.101679521e+001 -1.746320479e+001 -1.746320479e+001
617 +3.961338791e+001 +3.961338791e+001 -1.886661209e+001 -1.886661209e+001
623 +3.648720108e+001 +3.648720108e+001 -2.199279892e+001 -2.199279892e+001
806 +3.383019242e+001 +3.383019242e+001 -2.464980758e+001 -2.464980758e+001
889 +2.587837040e+001 +2.587837040e+001 -3.260162960e+001 -3.260162960e+001
1233 +2.552812615e+001 +2.552812615e+001 -3.295187385e+001 -3.295187385e+001
1244 +2.504614694e+001 +2.504614694e+001 -3.343385306e+001 -3.343385306e+001
1270 +2.453725918e+001 +2.453725918e+001 -3.394274082e+001 -3.394274082e+001
1296 +2.285167352e+001 +2.285167352e+001 -3.562832648e+001 -3.562832648e+001
1550 +2.139899957e+001 +2.139899957e+001 -3.708100043e+001 -3.708100043e+001
1623 +2.080583764e+001 +2.080583764e+001 -3.767416236e+001 -3.767416236e+001
1635 +1.936588510e+001 +1.936588510e+001 -3.911411490e+001 -3.911411490e+001
1673 +1.661047822e+001 +1.661047822e+001 -4.186952178e+001 -4.186952178e+001
2052 +1.434179937e+001 +1.434179937e+001 -4.413820063e+001 -4.413820063e+001
2432 +1.378074086e+001 +1.378074086e+001 -4.469925914e+001 -4.469925914e+001
