% function evaluation | noise-free fitness - Fopt (6.870000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
440 +2.508118624e+000 +2.508118624e+000 -4.192188138e+001 -4.192188138e+001 -2.6407e+000 -2.9590e+000 -1.7643e+000 +1.6370e-002 -1.7152e+000
809 +2.061491390e+000 +2.061491390e+000 -4.236850861e+001 -4.236850861e+001 -2.4339e+000 +9.8114e-001 -7.1247e-001 +1.3494e+000 -1.0404e+000
8416 +8.082874911e-001 +8.082874911e-001 -4.362171251e+001 -4.362171251e+001 -2.6974e+000 -1.1817e+000 -2.2227e+000 +2.4319e+000 +5.0671e+000
40377 +7.204719444e-001 +7.204719444e-001 -4.370952806e+001 -4.370952806e+001 +3.1512e+000 -7.1898e-001 +4.3580e-001 -1.3232e+000 -2.0370e+000
282654 +5.232961099e-001 +5.232961099e-001 -4.390670389e+001 -4.390670389e+001 +3.6434e+000 -2.6025e+000 -2.6846e+000 +2.5908e+000 -2.5508e-001
391145 +4.139070888e-001 +4.139070888e-001 -4.401609291e+001 -4.401609291e+001 +4.9142e+000 +2.5742e+000 +2.6914e+000 -1.7061e-001 +8.5768e-001
4400550 +4.035829050e-001 +4.035829050e-001 -4.402641709e+001 -4.402641709e+001 -1.4192e-002 +1.8907e+000 -3.1992e+000 +4.2399e+000 -1.5329e+000
4941870 +2.599905391e-001 +2.599905391e-001 -4.417000946e+001 -4.417000946e+001 -6.6519e-001 -2.0344e+000 +8.0532e-002 +3.9394e+000 +9.3360e-002
% function evaluation | noise-free fitness - Fopt (-3.845400000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.889541080e+001 +2.889541080e+001 -3.556445892e+002 -3.556445892e+002 +2.1447e+000 +3.8853e+000 +2.4667e+000 +1.9586e+000 +1.6249e+000
2 +2.749259763e+001 +2.749259763e+001 -3.570474024e+002 -3.570474024e+002 +1.2395e+000 +6.0954e+000 +1.0039e+000 +3.1843e+000 -6.2934e-001
